OrderId,OrderDate,SKU,ProductName,Category,Quantity,UnitPrice,Discount,FinalUnitPrice,LineTotal,Status,Region
ORD-0012,2025-01-28,SKU007,Men's Chino Trousers,Menswear,2,30.0,0.25,22.5,45.0,Dispatched,Newcastle
ORD-0013,2025-03-10,SKU019,Faux Fur Throw,Home,4,42.0,0.1,37.8,151.2,Returned,Cardiff
ORD-0014,2025-01-29,SKU005,Women's Ankle Boots,Footwear,2,58.0,0,58.0,116.0,Delivered,West Midlands
ORD-0014,2025-01-29,SKU017,Women's Wide Leg Trousers,Womenswear,4,34.0,0,34.0,136.0,Delivered,West Midlands
ORD-0014,2025-01-29,SKU016,Men's Graphic Tee,Menswear,4,15.0,0.15,12.75,51.0,Delivered,West Midlands
ORD-0014,2025-01-29,SKU003,Kids' Puffer Jacket,Childrenswear,4,28.0,0.25,21.0,84.0,Delivered,West Midlands
ORD-0015,2025-02-02,SKU001,Men's Slim Fit Jeans,Menswear,3,32.0,0.15,27.2,81.6,Delivered,Edinburgh
ORD-0015,2025-02-02,SKU004,Men's Oxford Shirt,Menswear,2,26.0,0.2,20.8,41.6,Delivered,Edinburgh
ORD-0015,2025-02-02,SKU018,Kids' Wellies,Footwear,1,20.0,0,20.0,20.0,Delivered,Edinburgh
ORD-0015,2025-02-02,SKU009,Kids' School Polo 2-Pack,Childrenswear,2,12.0,0.25,9.0,18.0,Delivered,Edinburgh
ORD-0016,2025-01-14,SKU010,Scented Candle Set,Home,2,18.0,0.25,13.5,27.0,Delivered,Manchester
ORD-0016,2025-01-14,SKU017,Women's Wide Leg Trousers,Womenswear,1,34.0,0.1,30.6,30.6,Delivered,Manchester
ORD-0016,2025-01-14,SKU007,Men's Chino Trousers,Menswear,4,30.0,0,30.0,120.0,Delivered,Manchester
ORD-0017,2025-01-15,SKU010,Scented Candle Set,Home,1,18.0,0,18.0,18.0,Returned,Yorkshire
ORD-0017,2025-01-15,SKU008,Women's Knit Jumper,Womenswear,4,38.0,0,38.0,152.0,Returned,Yorkshire
ORD-0017,2025-01-15,SKU002,Women's Floral Dress,Womenswear,2,45.0,0,45.0,90.0,Returned,Yorkshire
ORD-0018,2025-03-26,SKU018,Kids' Wellies,Footwear,4,20.0,0,20.0,80.0,Delivered,Manchester
ORD-0019,2025-03-11,SKU007,Men's Chino Trousers,Menswear,3,30.0,0.2,24.0,72.0,Cancelled,Cardiff
ORD-0019,2025-03-11,SKU010,Scented Candle Set,Home,4,18.0,0,18.0,72.0,Cancelled,Cardiff
ORD-0020,2025-02-01,SKU011,Women's Running Trainers,Footwear,2,52.0,0,52.0,104.0,Returned,West Midlands
ORD-0021,2025-01-01,SKU002,Women's Floral Dress,Womenswear,1,45.0,0.1,40.5,40.5,Delivered,Yorkshire
ORD-0022,2025-01-10,SKU009,Kids' School Polo 2-Pack,Childrenswear,2,12.0,0.2,9.6,19.2,Processing,Yorkshire
ORD-0022,2025-01-10,SKU016,Men's Graphic Tee,Menswear,2,15.0,0.2,12.0,24.0,Processing,Yorkshire
ORD-0023,2025-02-22,SKU004,Men's Oxford Shirt,Menswear,4,26.0,0.15,22.1,88.4,Delivered,Cardiff
ORD-0024,2025-03-01,SKU002,Women's Floral Dress,Womenswear,1,45.0,0,45.0,45.0,Delivered,Cardiff
ORD-0024,2025-03-01,SKU004,Men's Oxford Shirt,Menswear,2,26.0,0,26.0,52.0,Delivered,Cardiff
ORD-0024,2025-03-01,SKU020,Men's Belt,Accessories,4,22.0,0,22.0,88.0,Delivered,Cardiff
ORD-0025,2025-02-24,SKU015,Women's Leather Bag,Accessories,4,65.0,0.25,48.75,195.0,Delivered,Yorkshire
ORD-0026,2025-01-13,SKU018,Kids' Wellies,Footwear,2,20.0,0,20.0,40.0,Delivered,West Midlands
ORD-0027,2025-02-22,SKU007,Men's Chino Trousers,Menswear,2,30.0,0.15,25.5,51.0,Delivered,Cardiff
ORD-0028,2025-01-01,SKU009,Kids' School Polo 2-Pack,Childrenswear,4,12.0,0,12.0,48.0,Cancelled,Liverpool
ORD-0028,2025-01-01,SKU015,Women's Leather Bag,Accessories,2,65.0,0,65.0,130.0,Cancelled,Liverpool
ORD-0028,2025-01-01,SKU010,Scented Candle Set,Home,2,18.0,0,18.0,36.0,Cancelled,Liverpool
ORD-0028,2025-01-01,SKU014,Cotton Bedding Set Double,Home,1,35.0,0.1,31.5,31.5,Cancelled,Liverpool
ORD-0029,2025-01-08,SKU016,Men's Graphic Tee,Menswear,2,15.0,0,15.0,30.0,Processing,Liverpool
ORD-0030,2025-03-07,SKU006,Velvet Cushion Cover,Home,1,14.0,0,14.0,14.0,Returned,London
ORD-0031,2025-02-21,SKU019,Faux Fur Throw,Home,1,42.0,0,42.0,42.0,Returned,Yorkshire
ORD-0032,2025-02-23,SKU019,Faux Fur Throw,Home,2,42.0,0.1,37.8,75.6,Delivered,Edinburgh
ORD-0032,2025-02-23,SKU017,Women's Wide Leg Trousers,Womenswear,2,34.0,0,34.0,68.0,Delivered,Edinburgh
ORD-0033,2025-02-20,SKU010,Scented Candle Set,Home,1,18.0,0,18.0,18.0,Delivered,Newcastle
ORD-0034,2025-02-28,SKU019,Faux Fur Throw,Home,2,42.0,0.25,31.5,63.0,Processing,London
ORD-0034,2025-02-28,SKU004,Men's Oxford Shirt,Menswear,3,26.0,0,26.0,78.0,Processing,London
ORD-0035,2025-02-14,SKU008,Women's Knit Jumper,Womenswear,3,38.0,0.25,28.5,85.5,Dispatched,Manchester
ORD-0035,2025-02-14,SKU012,Men's Wool Coat,Menswear,1,89.0,0.25,66.75,66.75,Dispatched,Manchester
ORD-0035,2025-02-14,SKU010,Scented Candle Set,Home,3,18.0,0,18.0,54.0,Dispatched,Manchester
ORD-0036,2025-01-18,SKU004,Men's Oxford Shirt,Menswear,3,26.0,0,26.0,78.0,Delivered,Liverpool
ORD-0037,2025-03-19,SKU011,Women's Running Trainers,Footwear,3,52.0,0.25,39.0,117.0,Cancelled,Yorkshire
ORD-0038,2025-03-04,SKU002,Women's Floral Dress,Womenswear,4,45.0,0,45.0,180.0,Cancelled,London
ORD-0039,2025-01-06,SKU005,Women's Ankle Boots,Footwear,4,58.0,0.25,43.5,174.0,Delivered,Bristol
ORD-0040,2025-02-24,SKU004,Men's Oxford Shirt,Menswear,1,26.0,0.1,23.4,23.4,Processing,Manchester
ORD-0040,2025-02-24,SKU003,Kids' Puffer Jacket,Childrenswear,2,28.0,0.15,23.8,47.6,Processing,Manchester
ORD-0041,2025-01-17,SKU012,Men's Wool Coat,Menswear,2,89.0,0,89.0,178.0,Delivered,West Midlands
ORD-0042,2025-03-27,SKU018,Kids' Wellies,Footwear,2,20.0,0,20.0,40.0,Returned,Cardiff
ORD-0043,2025-01-21,SKU006,Velvet Cushion Cover,Home,2,14.0,0,14.0,28.0,Dispatched,Edinburgh
ORD-0043,2025-01-21,SKU014,Cotton Bedding Set Double,Home,2,35.0,0,35.0,70.0,Dispatched,Edinburgh
ORD-0043,2025-01-21,SKU001,Men's Slim Fit Jeans,Menswear,4,32.0,0,32.0,128.0,Dispatched,Edinburgh
ORD-0043,2025-01-21,SKU020,Men's Belt,Accessories,4,22.0,0,22.0,88.0,Dispatched,Edinburgh
ORD-0044,2025-01-26,SKU015,Women's Leather Bag,Accessories,1,65.0,0,65.0,65.0,Delivered,Yorkshire
ORD-0044,2025-01-26,SKU012,Men's Wool Coat,Menswear,4,89.0,0.1,80.1,320.4,Delivered,Yorkshire
ORD-0044,2025-01-26,SKU010,Scented Candle Set,Home,3,18.0,0,18.0,54.0,Delivered,Yorkshire
ORD-0045,2025-02-05,SKU017,Women's Wide Leg Trousers,Womenswear,3,34.0,0,34.0,102.0,Cancelled,Cardiff
ORD-0046,2025-01-15,SKU009,Kids' School Polo 2-Pack,Childrenswear,4,12.0,0.1,10.8,43.2,Delivered,West Midlands
ORD-0046,2025-01-15,SKU006,Velvet Cushion Cover,Home,3,14.0,0.15,11.9,35.7,Delivered,West Midlands
ORD-0046,2025-01-15,SKU020,Men's Belt,Accessories,1,22.0,0.15,18.7,18.7,Delivered,West Midlands
ORD-0047,2025-03-15,SKU002,Women's Floral Dress,Womenswear,2,45.0,0.1,40.5,81.0,Delivered,Cardiff
ORD-0048,2025-02-25,SKU011,Women's Running Trainers,Footwear,1,52.0,0,52.0,52.0,Delivered,Norwich
ORD-0049,2025-03-06,SKU014,Cotton Bedding Set Double,Home,3,35.0,0.25,26.25,78.75,Dispatched,Edinburgh
ORD-0050,2025-01-17,SKU013,Baby Sleepsuit 3-Pack,Childrenswear,3,16.0,0.15,13.6,40.8,Returned,Manchester
ORD-0051,2025-03-12,SKU010,Scented Candle Set,Home,3,18.0,0.2,14.4,43.2,Returned,Cardiff
ORD-0051,2025-03-12,SKU020,Men's Belt,Accessories,4,22.0,0.2,17.6,70.4,Returned,Cardiff
ORD-0051,2025-03-12,SKU007,Men's Chino Trousers,Menswear,2,30.0,0.25,22.5,45.0,Returned,Cardiff
ORD-0052,2025-03-02,SKU006,Velvet Cushion Cover,Home,3,14.0,0,14.0,42.0,Processing,Bristol
ORD-0052,2025-03-02,SKU003,Kids' Puffer Jacket,Childrenswear,2,28.0,0,28.0,56.0,Processing,Bristol
ORD-0053,2025-01-29,SKU005,Women's Ankle Boots,Footwear,1,58.0,0.2,46.4,46.4,Dispatched,Yorkshire
ORD-0053,2025-01-29,SKU001,Men's Slim Fit Jeans,Menswear,4,32.0,0,32.0,128.0,Dispatched,Yorkshire
ORD-0053,2025-01-29,SKU002,Women's Floral Dress,Womenswear,4,45.0,0.2,36.0,144.0,Dispatched,Yorkshire
ORD-0054,2025-02-21,SKU001,Men's Slim Fit Jeans,Menswear,2,32.0,0,32.0,64.0,Dispatched,London
ORD-0055,2025-03-31,SKU002,Women's Floral Dress,Womenswear,4,45.0,0,45.0,180.0,Delivered,Yorkshire
ORD-0055,2025-03-31,SKU018,Kids' Wellies,Footwear,4,20.0,0.25,15.0,60.0,Delivered,Yorkshire
ORD-0056,2025-03-13,SKU015,Women's Leather Bag,Accessories,4,65.0,0,65.0,260.0,Processing,Cardiff
ORD-0056,2025-03-13,SKU017,Women's Wide Leg Trousers,Womenswear,4,34.0,0.2,27.2,108.8,Processing,Cardiff
ORD-0057,2025-02-03,SKU009,Kids' School Polo 2-Pack,Childrenswear,2,12.0,0,12.0,24.0,Cancelled,Newcastle
ORD-0057,2025-02-03,SKU017,Women's Wide Leg Trousers,Womenswear,4,34.0,0,34.0,136.0,Cancelled,Newcastle
ORD-0058,2025-02-06,SKU011,Women's Running Trainers,Footwear,1,52.0,0,52.0,52.0,Processing,Edinburgh
ORD-0059,2025-01-20,SKU005,Women's Ankle Boots,Footwear,4,58.0,0.15,49.3,197.2,Delivered,Yorkshire
ORD-0060,2025-02-12,SKU014,Cotton Bedding Set Double,Home,4,35.0,0,35.0,140.0,Dispatched,Yorkshire
ORD-0060,2025-02-12,SKU002,Women's Floral Dress,Womenswear,4,45.0,0.2,36.0,144.0,Dispatched,Yorkshire
ORD-0061,2025-01-01,SKU010,Scented Candle Set,Home,2,18.0,0.2,14.4,28.8,Processing,Liverpool
ORD-0061,2025-01-01,SKU013,Baby Sleepsuit 3-Pack,Childrenswear,2,16.0,0,16.0,32.0,Processing,Liverpool
ORD-0061,2025-01-01,SKU014,Cotton Bedding Set Double,Home,4,35.0,0.2,28.0,112.0,Processing,Liverpool
ORD-0062,2025-01-04,SKU013,Baby Sleepsuit 3-Pack,Childrenswear,2,16.0,0.25,12.0,24.0,Dispatched,Manchester
ORD-0063,2025-01-04,SKU019,Faux Fur Throw,Home,4,42.0,0,42.0,168.0,Cancelled,London
ORD-0063,2025-01-04,SKU020,Men's Belt,Accessories,4,22.0,0,22.0,88.0,Cancelled,London
ORD-0063,2025-01-04,SKU001,Men's Slim Fit Jeans,Menswear,1,32.0,0,32.0,32.0,Cancelled,London
ORD-0064,2025-02-18,SKU015,Women's Leather Bag,Accessories,4,65.0,0,65.0,260.0,Delivered,Edinburgh
ORD-0065,2025-02-23,SKU003,Kids' Puffer Jacket,Childrenswear,1,28.0,0.1,25.2,25.2,Delivered,Newcastle
ORD-0066,2025-01-29,SKU002,Women's Floral Dress,Womenswear,1,45.0,0,45.0,45.0,Delivered,Yorkshire
ORD-0066,2025-01-29,SKU001,Men's Slim Fit Jeans,Menswear,2,32.0,0,32.0,64.0,Delivered,Yorkshire
ORD-0067,2025-03-02,SKU019,Faux Fur Throw,Home,3,42.0,0,42.0,126.0,Delivered,Newcastle
ORD-0067,2025-03-02,SKU007,Men's Chino Trousers,Menswear,1,30.0,0,30.0,30.0,Delivered,Newcastle
ORD-0068,2025-02-09,SKU001,Men's Slim Fit Jeans,Menswear,4,32.0,0.15,27.2,108.8,Returned,Bristol
ORD-0069,2025-01-26,SKU008,Women's Knit Jumper,Womenswear,1,38.0,0,38.0,38.0,Delivered,London
ORD-0070,2025-02-14,SKU012,Men's Wool Coat,Menswear,3,89.0,0,89.0,267.0,Cancelled,Liverpool
ORD-0070,2025-02-14,SKU003,Kids' Puffer Jacket,Childrenswear,4,28.0,0.2,22.4,89.6,Cancelled,Liverpool
ORD-0071,2025-01-14,SKU012,Men's Wool Coat,Menswear,4,89.0,0,89.0,356.0,Delivered,Newcastle
ORD-0072,2025-03-08,SKU009,Kids' School Polo 2-Pack,Childrenswear,3,12.0,0.1,10.8,32.4,Returned,Cardiff
ORD-0072,2025-03-08,SKU018,Kids' Wellies,Footwear,2,20.0,0,20.0,40.0,Returned,Cardiff
ORD-0072,2025-03-08,SKU016,Men's Graphic Tee,Menswear,3,15.0,0.2,12.0,36.0,Returned,Cardiff
ORD-0072,2025-03-08,SKU015,Women's Leather Bag,Accessories,2,65.0,0.2,52.0,104.0,Returned,Cardiff
ORD-0073,2025-03-14,SKU013,Baby Sleepsuit 3-Pack,Childrenswear,3,16.0,0,16.0,48.0,Dispatched,West Midlands
ORD-0073,2025-03-14,SKU011,Women's Running Trainers,Footwear,4,52.0,0,52.0,208.0,Dispatched,West Midlands
ORD-0074,2025-02-15,SKU011,Women's Running Trainers,Footwear,1,52.0,0.25,39.0,39.0,Delivered,Norwich
ORD-0074,2025-02-15,SKU009,Kids' School Polo 2-Pack,Childrenswear,2,12.0,0,12.0,24.0,Delivered,Norwich
ORD-0075,2025-01-31,SKU016,Men's Graphic Tee,Menswear,4,15.0,0.2,12.0,48.0,Dispatched,Yorkshire
ORD-0075,2025-01-31,SKU018,Kids' Wellies,Footwear,1,20.0,0,20.0,20.0,Dispatched,Yorkshire
ORD-0076,2025-02-07,SKU008,Women's Knit Jumper,Womenswear,3,38.0,0.2,30.4,91.2,Cancelled,Bristol
ORD-0077,2025-03-12,SKU014,Cotton Bedding Set Double,Home,4,35.0,0,35.0,140.0,Delivered,Edinburgh
ORD-0077,2025-03-12,SKU018,Kids' Wellies,Footwear,3,20.0,0,20.0,60.0,Delivered,Edinburgh
ORD-0078,2025-01-30,SKU007,Men's Chino Trousers,Menswear,2,30.0,0,30.0,60.0,Delivered,Edinburgh
ORD-0079,2025-01-28,SKU009,Kids' School Polo 2-Pack,Childrenswear,3,12.0,0,12.0,36.0,Returned,Liverpool
ORD-0079,2025-01-28,SKU019,Faux Fur Throw,Home,2,42.0,0,42.0,84.0,Returned,Liverpool
ORD-0080,2025-01-30,SKU010,Scented Candle Set,Home,2,18.0,0,18.0,36.0,Processing,West Midlands
ORD-0081,2025-01-06,SKU018,Kids' Wellies,Footwear,3,20.0,0.2,16.0,48.0,Delivered,London
ORD-0081,2025-01-06,SKU010,Scented Candle Set,Home,4,18.0,0.2,14.4,57.6,Delivered,London
ORD-0081,2025-01-06,SKU005,Women's Ankle Boots,Footwear,3,58.0,0,58.0,174.0,Delivered,London
ORD-0081,2025-01-06,SKU016,Men's Graphic Tee,Menswear,1,15.0,0,15.0,15.0,Delivered,London
ORD-0082,2025-03-03,SKU003,Kids' Puffer Jacket,Childrenswear,1,28.0,0,28.0,28.0,Dispatched,Cardiff
ORD-0083,2025-01-20,SKU019,Faux Fur Throw,Home,2,42.0,0,42.0,84.0,Delivered,Bristol
ORD-0084,2025-03-13,SKU020,Men's Belt,Accessories,4,22.0,0.2,17.6,70.4,Dispatched,Liverpool
ORD-0084,2025-03-13,SKU008,Women's Knit Jumper,Womenswear,3,38.0,0.15,32.3,96.9,Dispatched,Liverpool
ORD-0085,2025-02-09,SKU002,Women's Floral Dress,Womenswear,2,45.0,0,45.0,90.0,Cancelled,Yorkshire
ORD-0085,2025-02-09,SKU004,Men's Oxford Shirt,Menswear,1,26.0,0,26.0,26.0,Cancelled,Yorkshire
ORD-0086,2025-01-31,SKU003,Kids' Puffer Jacket,Childrenswear,4,28.0,0.2,22.4,89.6,Delivered,Manchester
ORD-0087,2025-03-30,SKU010,Scented Candle Set,Home,3,18.0,0.2,14.4,43.2,Delivered,Yorkshire
ORD-0087,2025-03-30,SKU002,Women's Floral Dress,Womenswear,1,45.0,0,45.0,45.0,Delivered,Yorkshire
ORD-0088,2025-02-03,SKU019,Faux Fur Throw,Home,2,42.0,0,42.0,84.0,Delivered,Cardiff
ORD-0088,2025-02-03,SKU007,Men's Chino Trousers,Menswear,3,30.0,0,30.0,90.0,Delivered,Cardiff
ORD-0089,2025-01-10,SKU010,Scented Candle Set,Home,3,18.0,0.2,14.4,43.2,Returned,Norwich
ORD-0090,2025-01-16,SKU010,Scented Candle Set,Home,4,18.0,0.2,14.4,57.6,Delivered,Cardiff
ORD-0091,2025-01-11,SKU014,Cotton Bedding Set Double,Home,1,35.0,0,35.0,35.0,Delivered,Norwich
ORD-0091,2025-01-11,SKU011,Women's Running Trainers,Footwear,2,52.0,0,52.0,104.0,Delivered,Norwich
ORD-0092,2025-03-28,SKU019,Faux Fur Throw,Home,4,42.0,0,42.0,168.0,Processing,Newcastle
ORD-0092,2025-03-28,SKU002,Women's Floral Dress,Womenswear,2,45.0,0.15,38.25,76.5,Processing,Newcastle
ORD-0092,2025-03-28,SKU006,Velvet Cushion Cover,Home,4,14.0,0,14.0,56.0,Processing,Newcastle
ORD-0093,2025-03-02,SKU011,Women's Running Trainers,Footwear,1,52.0,0,52.0,52.0,Cancelled,Edinburgh
ORD-0094,2025-02-12,SKU016,Men's Graphic Tee,Menswear,4,15.0,0.25,11.25,45.0,Cancelled,Bristol
ORD-0095,2025-01-05,SKU011,Women's Running Trainers,Footwear,1,52.0,0.15,44.2,44.2,Delivered,Bristol
ORD-0096,2025-03-07,SKU001,Men's Slim Fit Jeans,Menswear,2,32.0,0.25,24.0,48.0,Delivered,Cardiff
ORD-0096,2025-03-07,SKU018,Kids' Wellies,Footwear,3,20.0,0.2,16.0,48.0,Delivered,Cardiff
ORD-0096,2025-03-07,SKU015,Women's Leather Bag,Accessories,4,65.0,0,65.0,260.0,Delivered,Cardiff
ORD-0097,2025-01-27,SKU005,Women's Ankle Boots,Footwear,4,58.0,0,58.0,232.0,Dispatched,Bristol
ORD-0098,2025-01-04,SKU020,Men's Belt,Accessories,4,22.0,0,22.0,88.0,Delivered,Liverpool
ORD-0098,2025-01-04,SKU008,Women's Knit Jumper,Womenswear,2,38.0,0,38.0,76.0,Delivered,Liverpool
ORD-0098,2025-01-04,SKU006,Velvet Cushion Cover,Home,4,14.0,0,14.0,56.0,Delivered,Liverpool
ORD-0098,2025-01-04,SKU010,Scented Candle Set,Home,2,18.0,0.2,14.4,28.8,Delivered,Liverpool
ORD-0099,2025-02-07,SKU009,Kids' School Polo 2-Pack,Childrenswear,2,12.0,0.2,9.6,19.2,Dispatched,Newcastle
ORD-0099,2025-02-07,SKU014,Cotton Bedding Set Double,Home,2,35.0,0.15,29.75,59.5,Dispatched,Newcastle
ORD-0100,2025-01-25,SKU017,Women's Wide Leg Trousers,Womenswear,3,34.0,0.25,25.5,76.5,Dispatched,Bristol
ORD-0100,2025-01-25,SKU005,Women's Ankle Boots,Footwear,3,58.0,0,58.0,174.0,Dispatched,Bristol
ORD-0100,2025-01-25,SKU003,Kids' Puffer Jacket,Childrenswear,3,28.0,0,28.0,84.0,Dispatched,Bristol
ORD-0101,2025-03-17,SKU016,Men's Graphic Tee,Menswear,4,15.0,0.1,13.5,54.0,Processing,Newcastle
ORD-0101,2025-03-17,SKU005,Women's Ankle Boots,Footwear,3,58.0,0.25,43.5,130.5,Processing,Newcastle
ORD-0102,2025-03-11,SKU011,Women's Running Trainers,Footwear,4,52.0,0,52.0,208.0,Delivered,Yorkshire
ORD-0103,2025-02-22,SKU016,Men's Graphic Tee,Menswear,2,15.0,0.2,12.0,24.0,Dispatched,Cardiff
ORD-0104,2025-01-05,SKU019,Faux Fur Throw,Home,4,42.0,0,42.0,168.0,Delivered,Edinburgh
ORD-0105,2025-03-09,SKU001,Men's Slim Fit Jeans,Menswear,4,32.0,0,32.0,128.0,Delivered,Manchester
ORD-0105,2025-03-09,SKU005,Women's Ankle Boots,Footwear,3,58.0,0.15,49.3,147.9,Delivered,Manchester
ORD-0105,2025-03-09,SKU014,Cotton Bedding Set Double,Home,1,35.0,0.1,31.5,31.5,Delivered,Manchester
ORD-0106,2025-03-28,SKU013,Baby Sleepsuit 3-Pack,Childrenswear,1,16.0,0,16.0,16.0,Delivered,Liverpool
ORD-0106,2025-03-28,SKU011,Women's Running Trainers,Footwear,3,52.0,0,52.0,156.0,Delivered,Liverpool
ORD-0106,2025-03-28,SKU016,Men's Graphic Tee,Menswear,1,15.0,0.15,12.75,12.75,Delivered,Liverpool
ORD-0107,2025-01-13,SKU004,Men's Oxford Shirt,Menswear,1,26.0,0,26.0,26.0,Delivered,Manchester
ORD-0107,2025-01-13,SKU015,Women's Leather Bag,Accessories,3,65.0,0,65.0,195.0,Delivered,Manchester
ORD-0108,2025-02-07,SKU014,Cotton Bedding Set Double,Home,4,35.0,0,35.0,140.0,Delivered,Manchester
ORD-0109,2025-01-22,SKU020,Men's Belt,Accessories,2,22.0,0.2,17.6,35.2,Returned,Cardiff
ORD-0110,2025-03-16,SKU015,Women's Leather Bag,Accessories,3,65.0,0,65.0,195.0,Dispatched,Bristol
ORD-0111,2025-03-01,SKU018,Kids' Wellies,Footwear,3,20.0,0.15,17.0,51.0,Delivered,Newcastle
ORD-0111,2025-03-01,SKU006,Velvet Cushion Cover,Home,3,14.0,0.2,11.2,33.6,Delivered,Newcastle
ORD-0111,2025-03-01,SKU003,Kids' Puffer Jacket,Childrenswear,3,28.0,0,28.0,84.0,Delivered,Newcastle
ORD-0112,2025-02-19,SKU004,Men's Oxford Shirt,Menswear,3,26.0,0,26.0,78.0,Delivered,Norwich
ORD-0112,2025-02-19,SKU008,Women's Knit Jumper,Womenswear,1,38.0,0.15,32.3,32.3,Delivered,Norwich
ORD-0112,2025-02-19,SKU013,Baby Sleepsuit 3-Pack,Childrenswear,3,16.0,0,16.0,48.0,Delivered,Norwich
ORD-0113,2025-03-14,SKU002,Women's Floral Dress,Womenswear,3,45.0,0,45.0,135.0,Returned,Yorkshire
ORD-0113,2025-03-14,SKU016,Men's Graphic Tee,Menswear,2,15.0,0,15.0,30.0,Returned,Yorkshire
ORD-0113,2025-03-14,SKU010,Scented Candle Set,Home,2,18.0,0,18.0,36.0,Returned,Yorkshire
ORD-0114,2025-03-22,SKU010,Scented Candle Set,Home,3,18.0,0,18.0,54.0,Returned,West Midlands
ORD-0114,2025-03-22,SKU015,Women's Leather Bag,Accessories,1,65.0,0,65.0,65.0,Returned,West Midlands
ORD-0115,2025-02-11,SKU006,Velvet Cushion Cover,Home,3,14.0,0.25,10.5,31.5,Processing,Manchester
ORD-0115,2025-02-11,SKU007,Men's Chino Trousers,Menswear,3,30.0,0,30.0,90.0,Processing,Manchester
ORD-0116,2025-02-02,SKU016,Men's Graphic Tee,Menswear,1,15.0,0,15.0,15.0,Dispatched,London
ORD-0116,2025-02-02,SKU010,Scented Candle Set,Home,2,18.0,0.15,15.3,30.6,Dispatched,London
ORD-0116,2025-02-02,SKU011,Women's Running Trainers,Footwear,3,52.0,0,52.0,156.0,Dispatched,London
ORD-0117,2025-02-20,SKU018,Kids' Wellies,Footwear,3,20.0,0,20.0,60.0,Dispatched,London
ORD-0118,2025-03-16,SKU012,Men's Wool Coat,Menswear,2,89.0,0.2,71.2,142.4,Cancelled,London
ORD-0119,2025-01-04,SKU018,Kids' Wellies,Footwear,1,20.0,0.2,16.0,16.0,Delivered,Norwich
ORD-0119,2025-01-04,SKU011,Women's Running Trainers,Footwear,3,52.0,0.15,44.2,132.6,Delivered,Norwich
ORD-0120,2025-01-15,SKU002,Women's Floral Dress,Womenswear,1,45.0,0,45.0,45.0,Dispatched,Bristol
ORD-0121,2025-01-31,SKU005,Women's Ankle Boots,Footwear,4,58.0,0,58.0,232.0,Cancelled,Edinburgh
ORD-0121,2025-01-31,SKU013,Baby Sleepsuit 3-Pack,Childrenswear,4,16.0,0,16.0,64.0,Cancelled,Edinburgh
ORD-0121,2025-01-31,SKU015,Women's Leather Bag,Accessories,4,65.0,0.15,55.25,221.0,Cancelled,Edinburgh
ORD-0122,2025-02-05,SKU012,Men's Wool Coat,Menswear,4,89.0,0,89.0,356.0,Dispatched,Yorkshire
ORD-0123,2025-02-16,SKU012,Men's Wool Coat,Menswear,3,89.0,0,89.0,267.0,Cancelled,Liverpool
ORD-0124,2025-02-20,SKU004,Men's Oxford Shirt,Menswear,2,26.0,0,26.0,52.0,Delivered,Newcastle
ORD-0125,2025-01-07,SKU008,Women's Knit Jumper,Womenswear,1,38.0,0.25,28.5,28.5,Delivered,Norwich
